rowid,rowid2,hour.range,urban,Weekday.Non-Rain.Construction,Weekday.Non-Rain.Non-Construction,Weekday.Rain.Construction,Weekday.Rain.Non-Construction,Weekend.Non-Rain.Construction,Weekend.Non-Rain.Non-Construction,Weekend.Rain.Construction,Weekend.Rain.Non-Construction
1,2728,Afternoon Rush,Northern Indiana,47,4,41,19,NA,7,NA,6
1,2729,Afternoon Rush,Northern Indiana,47.04,6,41,20,NA,12,NA,6
1,2730,Afternoon Rush,Northern Indiana,47.08,6,41,22.28,NA,13.12,NA,6
1,2731,Afternoon Rush,Northern Indiana,47.12,7,41,25,NA,14.68,NA,6
1,2732,Afternoon Rush,Northern Indiana,47.16,7,41,26.04,NA,16,NA,6
1,2733,Afternoon Rush,Northern Indiana,47.2,9,41,27,NA,16.8,NA,6
1,2734,Afternoon Rush,Northern Indiana,47.24,9,41,27,NA,19.36,NA,6
1,2735,Afternoon Rush,Northern Indiana,47.28,10,41,27,NA,20.92,NA,6
1,2736,Afternoon Rush,Northern Indiana,47.32,11,41,27.04,NA,23,NA,6
1,2737,Afternoon Rush,Northern Indiana,47.36,12,41,28,NA,23.12,NA,6
1,2738,Afternoon Rush,Northern Indiana,47.4,12,41.4,28,NA,26,NA,6
1,2739,Afternoon Rush,Northern Indiana,47.44,13,41.84,28.18,NA,26.16,NA,6
1,2740,Afternoon Rush,Northern Indiana,47.48,14,42.28,29,NA,27,NA,6
1,2741,Afternoon Rush,Northern Indiana,47.52,15,42.72,29,NA,29.28,NA,10
1,2742,Afternoon Rush,Northern Indiana,47.56,15,43.16,29,NA,30,NA,14
1,2743,Afternoon Rush,Northern Indiana,47.6,16,43.6,29,NA,30.4,NA,18
1,2744,Afternoon Rush,Northern Indiana,47.64,17,44.04,30,NA,31,NA,22
1,2745,Afternoon Rush,Northern Indiana,47.68,17,44.48,30,NA,31,NA,22
1,2746,Afternoon Rush,Northern Indiana,47.72,17,44.92,30,NA,32,NA,22
