"","urban","hour.range","weekend","event","construction","mean","min","max","std","var"
"1","Louisville","Evening","Weekday",FALSE,"Non-Construction",61.0533724866064,33,84,3.5268970663455,12.4390029165965
"2","Louisville","Morning","Weekday",FALSE,"Non-Construction",59.6518668522972,6,80,2.72772619574598,7.44049019895882
"3","Louisville","Morning","Weekday",TRUE,"Non-Construction",59.6927792915531,5,79,3.52623024654573,12.434299751654
"4","Louisville","Morning Rush","Weekday",FALSE,"Non-Construction",60.5600531336795,23,81,3.1947537840919,10.2064517409695
"5","Louisville","Morning Rush","Weekday",TRUE,"Non-Construction",60.4164504806959,34,78,3.13002969198989,9.79708587273835
"6","Louisville","Afternoon Rush","Weekday",FALSE,"Non-Construction",61.2176783917131,25,81,3.62572735688592,13.1458988664709
"7","Louisville","Afternoon Rush","Weekday",TRUE,"Non-Construction",60.0646625766871,21,83,4.24918582460883,18.0555801720566
"8","Louisville","Evening","Weekend",FALSE,"Non-Construction",61.7676025682882,27,83,4.72966433130146,22.3697246867853
"9","Louisville","Evening","Weekend",TRUE,"Non-Construction",61.6500811249324,28,83,3.62191819199703,13.118291389519
"10","Louisville","Morning","Weekend",FALSE,"Non-Construction",59.9689193212266,8,79,3.39589184911084,11.5320814508574
"11","Louisville","Morning Rush","Weekend",FALSE,"Non-Construction",61.2115488662633,9,81,3.92868753547682,15.4345857514109
"12","Louisville","Afternoon Rush","Weekend",FALSE,"Non-Construction",62.612143867448,11,83,4.53076286123935,20.5278121047858
"13","Louisville","Morning","Weekend",TRUE,"Non-Construction",59.913881748072,51,73,2.71210406599064,7.35550846476294
"14","Louisville","Morning Rush","Weekend",TRUE,"Non-Construction",59.1217391304348,56,66,1.95182247757876,3.8096109839817
"15","Louisville","Afternoon Rush","Weekend",TRUE,"Non-Construction",59.7294429708223,51,75,3.87015006787217,14.978061547851
"16","Louisville","Evening","Weekday",TRUE,"Non-Construction",60.8661290322581,49,80,3.83086442997667,14.6755222808605
"17","Rural","Evening","Weekday",FALSE,"Non-Construction",67.5741155830178,0,84,6.01154916817181,36.1387234013472
"18","Rural","Morning","Weekday",FALSE,"Non-Construction",66.6667757944033,0,84,3.46289726558864,11.9916574720213
