"xdid","position","lon","lat","direction"
1346389030,342,-87.01453,40.64439,"N"
1346452838,122,-87.02179,40.65173,"S"
1363484796,233,-86.31907,39.90851,"N"
1363599844,157,-86.01239,39.47844,"N"
1363600816,156,-86.01033,39.47333,"N"
1363630664,50,-85.78625,38.67658,"N"
1450803174,71,-87.27111,41.04595,"S"
1363421774,161,-86.78826,40.38562,"S"
1363533264,52,-85.78814,38.68831,"N"
1363628874,226,-86.3783,39.96709,"S"
1363634222,377,-85.84362,38.95874,"S"
1450789002,451,-87.31838,41.51984,"N"
1450789738,421,-87.30075,41.28488,"N"
1450887624,6,-87.29659,41.57422,"S"
1346389080,346,-87.04481,40.66982,"N"
1363492234,130,-86.97057,40.59313,"S"
1363600730,146,-85.9429,39.39397,"N"
1450887356,5,-87.30398,41.58448,"S"
1363466798,404,-85.8282,38.7592,"S"
1363490762,176,-86.69804,40.28451,"S"
1363534200,97,-85.86959,39.00969,"N"
1363576030,178,-86.07407,39.63698,"N"
1363608786,288,-86.07437,39.64374,"S"
1363609086,339,-85.95441,39.25445,"S"
1363609840,363,-85.9215,39.06363,"S"
1450789688,400,-87.26516,41.09659,"N"
1363455140,267,-86.14357,39.75957,"S"
1363484220,222,-86.23978,39.83637,"N"
1363484588,251,-86.4436,40.02273,"N"
1363484705,260,-86.50004,40.07758,"N"
1363490521,374,-85.84364,38.98037,"S"
1363527521,286,-86.07897,39.65807,"S"
1363615380,432,-85.77896,38.54988,"S"
1363624021,459,-85.7541,38.34111,"S"
1450761619,27,-87.32158,41.42729,"S"
1450789210,463,-87.30674,41.59058,"N"
1450789880,445,-87.32205,41.48145,"N"
1450792586,82,-87.23305,40.95883,"S"
1346452812,124,-87.00859,40.63768,"S"
1363430257,319,-86.8589,40.48911,"N"
1363484171,206,-86.14642,39.78299,"N"
1363485239,268,-86.53058,40.14615,"N"
1363485358,277,-86.59301,40.21178,"N"
1363551804,242,-86.26812,39.85699,"S"
1363563706,410,-85.8131,38.73153,"S"
1363566948,228,-86.28242,39.87183,"N"
1363599368,311,-86.0106,39.47324,"S"
1363609364,296,-86.05927,39.57697,"S"
1363614693,419,-85.78655,38.67653,"S"
1450788425,375,-87.20389,40.89447,"N"
1346387232,108,-87.11066,40.754,"S"
1363444527,211,-86.48111,40.03928,"S"
1363466823,402,-85.83388,38.77132,"S"
1363485122,294,-86.73939,40.31401,"N"
1363486526,180,-86.07413,39.65038,"N"
1363491908,138,-86.91464,40.54007,"S"
1363511679,163,-86.02603,39.52539,"N"
1363637606,218,-86.20829,39.82414,"N"
1450788510,377,-87.21177,40.90999,"N"
1450789495,381,-87.22148,40.94477,"N"
1450832413,56,-87.27841,41.1757,"S"
1450838563,41,-87.30163,41.31334,"S"
1363492208,132,-86.95545,40.58179,"S"
1363533105,33,-85.77287,38.51968,"N"
1363533339,15,-85.75527,38.36878,"N"
1363599870,322,-85.94302,39.38552,"S"
1363609213,347,-85.959,39.18772,"S"
1363630705,49,-85.78222,38.66431,"N"
1450810402,100,-87.15891,40.81223,"S"
1450832279,49,-87.29564,41.23911,"S"
1363533077,35,-85.77677,38.53758,"N"
1363601565,202,-86.14306,39.76065,"N"
1450804677,90,-87.20419,40.89438,"S"
1363459659,223,-86.24721,39.84113,"N"
1363484677,262,-86.50769,40.09613,"N"
1363485045,284,-86.6506,40.2576,"N"
1450788315,366,-87.16392,40.81958,"N"
1363503279,251,-86.19625,39.82126,"S"
1363641023,465,-85.75717,38.29464,"S"
1450838519,36,-87.31469,41.35435,"S"
1363626408,132,-85.96055,39.28471,"N"
1363457980,215,-86.45129,40.02738,"S"
1363533771,62,-85.83143,38.76656,"N"
1450758843,423,-87.30112,41.30207,"N"
139282699,225,-86.3882,39.97514,"S"
1363493561,444,-85.76734,38.44444,"S"
1363450877,326,-85.94246,39.35351,"S"
1363485639,312,-86.83696,40.43939,"N"
1346389053,340,-87.00136,40.63039,"N"
1363484837,231,-86.30422,39.89001,"N"
1363490853,168,-86.7602,40.33593,"S"
1363558605,273,-86.13735,39.73456,"S"
1450788257,362,-87.13734,40.79246,"N"
1450789059,455,-87.3109,41.54656,"N"
1363496127,166,-86.03864,39.54662,"N"
1363533431,25,-85.76706,38.44449,"N"
1363566973,119,-85.95846,39.18081,"N"
1363609189,349,-85.95856,39.17439,"S"
1450788183,359,-87.12201,40.76977,"N"
1450788451,373,-87.19497,40.8769,"N"
1450821525,14,-87.31854,41.52008,"S"
1450831635,102,-87.14321,40.79969,"S"
1346388861,356,-87.10332,40.74682,"N"
1363566787,117,-85.95818,39.16683,"N"
1363619099,266,-86.14343,39.76036,"S"
1450781181,444,-87.3239,41.47133,"N"
1450789119,461,-87.30563,41.58632,"N"
1450789855,447,-87.31966,41.49495,"N"
1450832439,54,-87.28463,41.18985,"S"
1363424399,460,-85.75392,38.3348,"S"
1363484145,209,-86.16248,39.78324,"N"
